REF_AREA_ID,FINAL_REF_AREA_NAME,CATEGORY,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,GROWTH_RATE_10YR,GROWTH_RATE_10YR2
AFG,Afghanistan,Total 65 years old and over,_T,Total,Y_GE65,65 years old and over,_T,Total,244277,247678,251049,254483,258112,262013,266251,270892,275870,281033,286354,291874,297584,303564,309807,316074,322143,327902,332623,331176,315231,278654,248660,241640,244016,244616,239021,233845,233853,240097,240267,241354,271765,317195,351470,374319,390765,406736,422731,440223,446519,449855,480661,519460,540942,561314,585793,597256,612481,639527,663424,694340,728754,758025,788186,812047,830919,855377,883085,913174,941940,964014,984763,1011704,33.47%,2.74%
AFG,Afghanistan,Total Rural,RUR_T,Total,_T,All age ranges or no breakdown by age,RUR,Rural area,7898093,8026804,8163985,8308019,8458694,8617815,8782038,8951970,9128927,9311235,9501003,9691641,9886067,10092624,10300800,10498997,10676535,10845486,11001526,10981014,10489394,9307672,8358450,8185365,8362433,8515214,8395637,8225793,8203141,8422410,8429959,8460100,9482568,11000794,12127356,12868486,13392069,13909967,14444061,15027717,15228282,15323859,16325389,17583264,18254002,18869118,19614729,19916271,20264376,20942092,21498290,22244569,23105778,23853670,24672275,25381619,25970228,26643455,27333488,28042342,28829317,29547690,30181937,30863394,29.39%,2.26%
AFG,Afghanistan,Total Urban,URB_T,Total,_T,All age ranges or no breakdown by age,URB,Urban area,724373,763336,805062,849446,896820,947332,1001109,1058060,1118853,1183254,1251968,1324216,1400686,1482681,1569079,1658389,1748732,1841815,1937336,2005355,1997237,1847523,1729839,1766084,1881253,1997007,2052805,2096965,2180319,2250758,2264837,2285067,2574865,3002966,3328199,3550426,3714526,3878852,4049071,4235130,4314700,4364773,4674867,5061866,5299549,5542073,5828215,5987030,6162823,6443215,6691382,7004588,7360701,7687539,8043935,8371880,8665979,8999963,9353296,9727157,10142913,10551772,10946834,11376460,47.99%,3.92%
AFG,Afghanistan,Total Population,ALL_T,Total,_T,All age ranges or no breakdown by age,_T,Total,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854,33.92%,2.70%
ALB,Albania,Female 15 Years Old Below,F,Female,Y0T14,under 15 years old,_T,Total,317450,330972,344498,357596,370123,381384,391366,401013,411118,420920,428547,434805,440685,445205,448694,451754,454109,456240,457692,458874,460670,462889,466382,470653,475605,481149,486818,493504,500518,512431,520439,516092,511742,507265,502492,497264,490868,482747,472857,461429,448724,433499,419973,405376,389985,373753,356986,339764,323094,307732,294114,282772,273472,265812,258942,252378,247367,242897,237975,233101,228549,224390,220001,215440,-18.95%,-2.07%
ALB,Albania,Female 15 to 64 years old,F,Female,Y15T64,15 to 64 years old,_T,Total,415778,425482,435198,445130,455726,467348,480048,493789,509650,526918,543546,560617,579152,598112,617941,638922,660368,682845,705244,727724,750913,773812,797618,821494,845167,868337,890474,913281,935114,964863,986626,984962,983222,981425,979612,977844,976681,976671,977577,978838,980078,978007,981682,984126,985961,987053,987225,986377,985233,984740,985448,987301,988774,988507,986978,983862,980959,978652,974760,967976,959728,947987,932631,917561,-7.18%,-1.62%
ALB,Albania,Female 65 years old and over,F,Female,Y_GE65,65 years old and over,_T,Total,51820,53021,54304,55518,56598,57420,57967,58350,58838,59499,60209,61161,62459,63929,65521,67206,68850,70485,71988,73376,74972,76782,78885,81323,84156,87355,90753,94438,98215,102933,106912,108472,110196,112085,114073,116144,118314,120590,122999,125660,128738,132028,136835,142030,147447,152772,157707,162256,166511,170506,174546,178950,183667,188612,193943,199572,205599,211689,217760,224287,230308,234835,239483,245158,29.98%,2.37%
ALB,Albania,Total Female,F_T,Female,_T,All age ranges or no breakdown by age,_T,Total,785048,809475,834000,858244,882448,906153,929381,953152,979606,1007337,1032302,1056583,1082296,1107246,1132155,1157882,1183327,1209570,1234924,1259974,1286555,1313483,1342885,1373470,1404928,1436842,1468045,1501223,1533846,1580227,1613977,1609526,1605160,1600776,1596176,1591252,1585863,1580008,1573432,1565927,1557540,1543533,1538490,1531532,1523393,1513578,1501918,1488396,1474838,1462978,1454108,1449024,1445914,1442931,1439863,1435812,1433925,1433238,1430495,1425364,1418585,1407212,1392115,1378159,-4.49%,-1.00%
ALB,Albania,Male 15 Years Old Below,M,Male,Y0T14,under 15 years old,_T,Total,342780,357772,372922,387720,401802,414667,426509,437995,449958,461577,470786,478501,485821,491567,496056,499908,502717,505154,506694,507768,509441,511322,514165,517339,520634,524067,527305,531375,535580,544783,549774,542088,534820,527781,520862,513882,506287,497541,487461,476169,463893,449302,436602,422981,408644,393304,377402,361172,345320,330432,316995,305438,295475,286777,278775,270950,264404,258326,251691,245027,238887,233398,228501,224245,-21.81%,-1.86%
ALB,Albania,Male 15 to 64 years old,M,Male,Y15T64,15 to 64 years old,_T,Total,444484,455503,466619,478088,490546,504007,518296,533727,551560,571101,590159,609856,631192,653071,675842,699631,723693,748579,772970,796981,821281,844775,868787,892522,915798,938145,958824,979548,998389,1024606,1041121,1031820,1021644,1010895,999876,988921,978794,970054,963139,958126,954708,950104,953170,956612,960590,964664,968070,970360,972352,974822,978130,982134,985321,986499,985989,983654,981542,979771,976284,969954,961677,949439,933926,918767,-6.87%,-1.62%
ALB,Albania,Male 65 years old and over,M,Male,Y_GE65,65 years old and over,_T,Total,36488,37049,37779,38569,39339,39964,40386,40723,41149,41680,42232,42914,43818,44869,46070,47411,48789,50243,51678,53109,54719,56476,58443,60629,63069,65707,68461,71459,74521,78327,81669,83358,85414,87835,90622,93729,97089,100678,104499,108556,112885,117235,122748,128491,134314,139941,145157,150089,154804,159287,163788,168599,173690,178886,184476,190286,196230,202121,207906,213847,218700,221617,223146,224802,25.67%,0.74%
ALB,Albania,Total Male,M_T,Male,_T,All age ranges or no breakdown by age,_T,Total,823752,850324,877319,904376,931687,958638,985191,1012445,1042667,1074358,1103177,1131270,1160831,1189506,1217969,1246949,1275199,1303976,1331341,1357858,1385442,1412573,1441394,1470490,1499501,1527920,1554590,1582382,1608490,1647716,1672564,1657265,1641879,1626510,1611360,1596532,1582170,1568273,1555099,1542851,1531486,1516640,1512520,1508084,1503547,1497909,1490629,1481621,1472476,1464541,1458913,1456171,1454486,1452162,1449241,1444890,1442176,1440219,1435881,1428828,1419264,1404454,1385573,1367813,-5.81%,-1.28%
ALB,Albania,Total 15 Years Old Below,_T,Total,Y0T14,under 15 years old,_T,Total,660230,688745,717420,745316,771925,796052,817875,839008,861076,882497,899332,913306,926505,936772,944750,951662,956827,961394,964386,966642,970111,974211,980546,987991,996239,1005217,1014123,1024879,1036097,1057214,1070213,1058179,1046562,1035046,1023354,1011146,997155,980288,960317,937598,912618,882800,856575,828357,798628,767057,734388,700936,668414,638164,611109,588210,568948,552588,537717,523328,511771,501223,489665,478127,467437,457788,448503,439685,-20.43%,-1.97%
ALB,Albania,Total 15 to 64 years old,_T,Total,Y15T64,15 to 64 years old,_T,Total,860262,880985,901816,923218,946272,971355,998344,1027517,1061209,1098019,1133706,1170473,1210344,1251182,1293783,1338552,1384060,1431424,1478214,1524705,1572194,1618587,1666404,1714016,1760965,1806483,1849298,1892829,1933503,1989469,2027747,2016781,2004866,1992321,1979487,1966765,1955476,1946725,1940715,1936964,1934786,1928110,1934852,1940739,1946550,1951717,1955295,1956736,1957585,1959562,1963578,1969436,1974096,1975006,1972967,1967517,1962501,1958423,1951044,1937930,1921404,1897426,1866557,1836327,-7.02%,-1.62%
ALB,Albania,Total 65 years old and over,_T,Total,Y_GE65,65 years old and over,_T,Total,88308,90070,92083,94087,95938,97384,98353,99073,99987,101179,102441,104074,106277,108798,111591,114617,117639,120728,123666,126485,129692,133258,137328,141953,147225,153063,159214,165897,172736,181260,188581,191830,195611,199920,204695,209873,215403,221269,227498,234216,241623,249263,259583,270520,281761,292713,302864,312345,321315,329793,338334,347549,357357,367497,378419,389858,401830,413811,425666,438134,449008,456453,462629,469960,27.88%,1.58%
ALB,Albania,Total Rural,RUR_T,Total,_T,All age ranges or no breakdown by age,RUR,Rural area,1114818,1146208,1180553,1214693,1248887,1282417,1315273,1348911,1386348,1424962,1457678,1489206,1522477,1554419,1585958,1618163,1649474,1681437,1711648,1740858,1769877,1798543,1829633,1861315,1893194,1924635,1954134,1985256,2014614,2060783,2089320,2067878,2037549,2007405,1977318,1947385,1917515,1887867,1858316,1828925,1799636,1761589,1723790,1684768,1645111,1604189,1561661,1517619,1473922,1432259,1393502,1358266,1324613,1291587,1258985,1226200,1195854,1167112,1137407,1106598,1075204,1041188,1005551,971992,-24.74%,-3.34%
ALB,Albania,Total Urban,URB_T,Total,_T,All age ranges or no breakdown by age,URB,Urban area,493982,513592,530766,547928,565248,582374,599300,616687,635924,656733,677801,698647,720649,742333,764166,786668,809052,832109,854618,876974,902120,927513,954645,982645,1011235,1040127,1068501,1098349,1127722,1167160,1197222,1198912,1209490,1219882,1230218,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,1747593,1762645,1770478,1772138,1773980,10.63%,0.10%
ALB,Albania,Total Population,ALL_T,Total,_T,All age ranges or no breakdown by age,_T,Total,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,-5.15%,-1.14%
DZA,Algeria,Female 15 Years Old Below,F,Female,Y0T14,under 15 years old,_T,Total,2545642,2609397,2654661,2703821,2754757,2799907,2859648,2937736,3012205,3084140,3155977,3229123,3303954,3380044,3456948,3579375,3752714,3892533,3994298,4099911,4212752,4333515,4460364,4591474,4724446,4857996,4986159,5101173,5202086,5290939,5365346,5431727,5495577,5548016,5581851,5584175,5513422,5382098,5264545,5167550,5068648,4971164,4878568,4797510,4734250,4689322,4665854,4667156,4693688,4746563,4826523,4933669,5068499,5230752,5412903,5606017,5804749,6003829,6193458,6364703,6514109,6638154,6733218,6796660,29.94%,0.94%
DZA,Algeria,Female 15 to 64 years old,F,Female,Y15T64,15 to 64 years old,_T,Total,2919279,2941875,2953402,2965424,2982772,3003595,3043213,3106329,3177906,3255163,3334907,3417645,3505603,3600223,3703744,3856744,4050627,4212094,4352616,4506652,4671657,4847466,5034439,5232518,5441735,5662582,5892646,6112084,6320988,6535834,6756337,6978402,7202306,7433413,7672187,7922849,8192787,8475019,8755481,9037532,9323356,9605944,9882021,10150170,10412169,10652596,10888023,11134380,11374448,11607700,11829444,12035743,12226790,12397862,12552758,12701666,12846022,12987065,13130562,13282181,13444344,13621101,13815800,14027444,13.14%,1.53%
DZA,Algeria,Female 65 years old and over,F,Female,Y_GE65,65 years old and over,_T,Total,183026,195748,215609,233802,247859,257880,261051,258925,256641,254088,251506,249273,247722,246808,246650,254223,271630,284192,289548,295564,302603,310778,320187,330798,342392,355113,369162,383391,397339,411500,425991,441347,457631,474309,491072,508478,541936,592980,632434,658201,684414,711023,737233,762045,785628,808356,830281,851825,872895,894834,917742,941950,969283,1000918,1038771,1083240,1132244,1184339,1240384,1301580,1360314,1421470,1491969,1565215,56.38%,4.91%
DZA,Algeria,Total Female,F_T,Female,_T,All age ranges or no breakdown by age,_T,Total,5647947,5747020,5823672,5903048,5985388,6061383,6163912,6302990,6446752,6593391,6742390,6896041,7057279,7227074,7407341,7690343,8074971,8388820,8636461,8902127,9187012,9491758,9814990,10154790,10508574,10875691,11247967,11596648,11920413,12238273,12547674,12851476,13155514,13455737,13745110,14015501,14248146,14450097,14652460,14863283,15076418,15288132,15497822,15709725,15932047,16150274,16384158,16653361,16941031,17249096,17573708,17911362,18264572,18629532,19004433,19390923,19783015,20175233,20564404,20948465,21318767,21680725,22040987,22389320,20.18%,1.58%
DZA,Algeria,Male 15 Years Old Below,M,Male,Y0T14,under 15 years old,_T,Total,2666002,2740661,2805982,2877140,2951144,3015947,3079408,3148292,3212990,3276062,3341022,3409759,3481916,3555959,3631009,3780043,4009750,4176407,4274125,4375475,4483908,4600249,4722030,4847006,4972921,5098663,5218659,5325787,5419254,5501061,5569021,5629831,5691029,5743138,5776401,5777046,5732090,5654930,5558972,5451960,5344618,5239769,5140367,5053170,4984584,4934992,4907437,4905212,4929179,4980430,5059571,5166560,5301988,5469643,5661121,5862771,6069279,6275644,6471879,6648729,6802559,6929818,7026587,7090076,29.63%,0.90%
DZA,Algeria,Male 15 to 64 years old,M,Male,Y15T64,15 to 64 years old,_T,Total,2905638,2928021,2951740,2978445,3018747,3068421,3129633,3206707,3293549,3385601,3478455,3572194,3669681,3773562,3886101,4014355,4150779,4289120,4440486,4605974,4782813,4970814,5170670,5382769,5607721,5845740,6093349,6330874,6559356,6794075,7033146,7271979,7508625,7749550,7996595,8254054,8534915,8834449,9131740,9429364,9732033,10031350,10324307,10609822,10889252,11146681,11399029,11662162,11919257,12169787,12408735,12631371,12836375,13014717,13170792,13320111,13465307,13607698,13753676,13909340,14075963,14257814,14459297,14678397,12.78%,1.52%
DZA,Algeria,Male 65 years old and over,M,Male,Y_GE65,65 years old and over,_T,Total,174719,182905,196865,210818,223820,235505,240436,239126,237683,235963,234049,232277,230873,229874,229151,239951,265016,279844,281573,283405,285647,288536,292406,297547,304314,312812,322578,332791,343995,356098,368233,380620,393135,405903,418899,431422,469484,536556,581497,601475,621551,641734,662201,683167,704303,724743,744457,763091,780124,796725,814330,834248,857627,886735,923821,969350,1021728,1077971,1137048,1198834,1254377,1309613,1376353,1448688,63.37%,5.26%
DZA,Algeria,Total Male,M_T,Male,_T,All age ranges or no breakdown by age,_T,Total,5746360,5851587,5954588,6066402,6193711,6319873,6449477,6594125,6744222,6897626,7053525,7214230,7382470,7559395,7746261,8034349,8425545,8745371,8996184,9264854,9552367,9859599,10185106,10527322,10884956,11257214,11634586,11989452,12322605,12651234,12970400,13282430,13592789,13898591,14191896,14462522,14736488,15025934,15272209,15482799,15698203,15912853,16126874,16346159,16578139,16806416,17050923,17330466,17628560,17946941,18282636,18632179,18995990,19371095,19755734,20152232,20556314,20961313,21362603,21756903,22132899,22497244,22862237,23217161,19.85%,1.55%
DZA,Algeria,Total 15 Years Old Below,_T,Total,Y0T14,under 15 years old,_T,Total,5211644,5350058,5460644,5580961,5705901,5815854,5939056,6086028,6225195,6360202,6496998,6638882,6785870,6936002,7087957,7359419,7762463,8068941,8268423,8475386,8696660,8933764,9182394,9438480,9697367,9956659,10204818,10426960,10621339,10792000,10934367,11061558,11186606,11291154,11358252,11361220,11245512,11037028,10823516,10619510,10413266,10210933,10018934,9850680,9718834,9624314,9573291,9572368,9622867,9726992,9886094,10100229,10370488,10700395,11074025,11468788,11874029,12279473,12665338,13013432,13316668,13567972,13759806,13886736,29.78%,0.92%
DZA,Algeria,Total 15 to 64 years old,_T,Total,Y15T64,15 to 64 years old,_T,Total,5824918,5869897,5905143,5943869,6001519,6072016,6172846,6313036,6471455,6640764,6813363,6989839,7175283,7373785,7589845,7871099,8201406,8501215,8793101,9112626,9454469,9818280,10205109,10615287,11049456,11508322,11985995,12442958,12880345,13329909,13789483,14250380,14710931,15182962,15668783,16176902,16727703,17309467,17887221,18466896,19055389,19637295,20206328,20759991,21301420,21799276,22287052,22796543,23293706,23777487,24238179,24667114,25063165,25412579,25723551,26021777,26311329,26594763,26884238,27191521,27520307,27878915,28275097,28705840,12.96%,1.52%
DZA,Algeria,Total 65 years old and over,_T,Total,Y_GE65,65 years old and over,_T,Total,357746,378653,412474,444621,471679,493386,501486,498051,494325,490050,485555,481550,478594,476682,475801,494174,536647,564037,571121,578969,588249,599314,612593,628345,646706,667925,691740,716183,741334,767598,794224,821967,850766,880211,909972,939900,1011420,1129536,1213931,1259677,1305966,1352757,1399434,1445212,1489931,1533099,1574737,1614916,1653019,1691558,1732072,1776198,1826911,1887652,1962592,2052589,2153971,2262310,2377432,2500415,2614691,2731082,2868322,3013903,59.66%,5.08%
DZA,Algeria,Total Rural,RUR_T,Total,_T,All age ranges or no breakdown by age,RUR,Rural area,7917904,7910599,7866229,7820600,7777451,7720580,7714349,7866724,8024202,8184460,8346529,8513432,8688252,8872325,9067461,9382924,9818302,10121510,10263257,10416039,10579878,10755484,10939453,11129251,11321670,11516193,11702138,11858620,11997627,12121688,12226985,12316648,12395966,12462905,12510471,12531184,12528898,12514344,12474696,12406086,12334776,12258243,12175192,12090197,12008938,11920435,11838359,11776076,11720129,11675933,11638969,11607690,11582446,11561310,11542390,11527620,11513248,11496842,11475841,11449736,11413449,11370967,11328186,11279395,-2.44%,-0.43%
DZA,Algeria,Total Urban,URB_T,Total,_T,All age ranges or no breakdown by age,URB,Urban area,3476403,3688009,3912031,4148851,4401648,4660676,4899040,5030391,5166773,5306556,5449386,5596839,5751496,5914144,6086141,6341768,6682214,7012682,7369388,7750942,8159500,8595873,9060643,9552860,10071860,10616712,11180415,11727481,12245391,12767819,13291089,13817257,14352337,14891422,15426535,15946838,16455736,16961687,17449972,17939997,18439845,18942742,19449504,19965686,20501248,21036255,21596721,22207751,22849463,23520104,24217375,24935851,25678117,26439316,27217778,28015534,28826081,29639704,30451166,31255632,32038217,32807002,33575039,34327085,29.83%,2.24%
DZA,Algeria,Total Population,ALL_T,Total,_T,All age ranges or no breakdown by age,_T,Total,11394307,11598608,11778260,11969451,12179099,12381256,12613389,12897115,13190975,13491016,13795915,14110271,14439748,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480,20.02%,1.57%
ASM,American Samoa,Female 15 Years Old Below,F,Female,Y0T14,under 15 years old,_T,Total,4675,4792,4932,5085,5252,5430,5610,5789,5971,6152,6258,6268,6249,6231,6233,6282,6357,6408,6446,6481,6573,6752,6966,7189,7420,7665,7926,8207,8512,8849,9168,9430,9672,9918,10168,10419,10663,10894,11106,11308,11406,11342,11199,11020,10800,10544,10263,9970,9688,9448,9194,8903,8625,8348,8070,7789,7504,7215,6920,6617,6313,6012,5832,5758,-31.03%,-1.27%
ASM,American Samoa,Female 15 to 64 years old,F,Female,Y15T64,15 to 64 years old,_T,Total,4813,4964,5151,5336,5519,5712,5894,6064,6250,6462,6685,6914,7144,7373,7592,7806,8028,8263,8505,8755,9057,9413,9792,10198,10627,11075,11538,12007,12477,12949,13340,13630,13901,14176,14459,14751,15049,15350,15647,15940,16158,16267,16340,16401,16462,16540,16626,16708,16775,16803,16827,16849,16823,16751,16634,16478,16285,16065,15827,15562,15282,14992,14740,14548,-13.15%,-1.30%
ASM,American Samoa,Female 65 years old and over,F,Female,Y_GE65,65 years old and over,_T,Total,283,283,280,282,288,293,299,308,320,330,340,350,355,360,368,377,390,408,428,446,463,489,517,543,571,600,626,655,689,729,773,814,849,882,912,933,951,965,977,987,1007,1040,1069,1101,1129,1146,1155,1164,1163,1155,1169,1198,1231,1270,1313,1362,1419,1481,1544,1608,1672,1742,1827,1924,51.50%,5.31%
ASM,American Samoa,Total Female,F_T,Female,_T,All age ranges or no breakdown by age,_T,Total,9771,10039,10363,10703,11059,11434,11802,12161,12541,12944,13284,13531,13748,13964,14193,14466,14774,15079,15379,15682,16093,16654,17275,17930,18618,19339,20090,20868,21679,22526,23281,23874,24422,24976,25539,26103,26663,27209,27730,28234,28572,28649,28608,28521,28392,28230,28044,27842,27626,27406,27189,26951,26678,26369,26017,25629,25208,24762,24290,23786,23268,22746,22399,22230,-15.70%,-0.75%
