FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,34097334,34947768,35840882,36749274,37696166,38669499,39644110,40656540,41725858,42833033,43962248,45139624,46355781,47654503,49076971,50547910,52026188,53520575,55166605,56924998,58712840,60501911,62255560,63985313,65699164,67417711,69352049,71511100,73560560,75622055,77826038,79993345,82008844,84009424,86229456,88626728,91005888,93461995,96144376,99020612,102037757,105192650,108451337,111789709,115225760,118728549,122339099,126083839,129917019,133816994,137847805,141992330,146258460,150721630,155372391,160338758,165208762,170036780,175229204,180640490,186284042,192036467,197877737,203925370
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,1741407,1775143,1810703,1848832,1892097,1940928,1993637,2051680,2115360,2182210,2251089,2322960,2396107,2472606,2553215,2634867,2719827,2805417,2899156,3001934,3095524,3187937,3286722,3377791,3464813,3556004,3651504,3759322,3856802,3942316,4036461,4136475,4229873,4312082,4386712,4459546,4543440,4631924,4720836,4817061,4928110,5050748,5178167,5308624,5446243,5593955,5749991,5913076,6081885,6263506,6467887,6693398,6935926,7190881,7456996,7732736,8012498,8301785,8606531,8918914,9192275,9388703,9555010,9774629
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,64839355,66562958,68378478,70254903,72219820,74263952,76345445,78502294,80763883,83102560,85507051,87998383,90547667,93207480,96034288,98944416,101913663,104883320,108065436,111481953,114907283,118411702,121976676,125446413,128864585,132374918,136219908,140423504,144506848,148602519,152948450,157246001,161323998,165457214,169655623,173980232,178517277,183072227,187706530,192526561,197551972,202744227,208105454,213639672,219383109,225323582,231510642,237971119,244643269,251454018,258458696,265618237,272984078,280667225,288561965,296812526,304990205,313109208,321598038,330312015,339223107,348121884,357024605,366123110
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,57766140,59417612,61174179,63018650,64954558,66978043,69056382,71199056,73430497,75740117,78149231,80637169,83154884,85717332,88342975,91026584,93810644,96564864,99433945,102517102,105492682,108643457,112055738,115359873,118599918,121964760,125538031,129373151,133242293,137128251,141186924,145195102,149106299,153191140,156946382,160646514,164856024,168910103,172634594,176334867,180120975,183943017,187885424,191995002,196304857,200848834,205642756,210693620,215978619,221392710,226873997,232368309,237989980,243817023,249670374,255568551,261491996,267368650,273240920,279121688,284994017,290770514,296437659,301977201
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,69041513,70788350,72615478,74478562,76422061,78429991,80453705,82547932,84746519,87019108,89344932,91732295,94155168,96732645,99546884,102460474,105412599,108392294,111682244,115213050,118687166,122301871,126117808,129999875,133985781,138129718,142426539,146799760,151005889,155236603,159708130,164109601,168346796,172715056,177528438,182651309,187707921,192767168,198160752,203968139,210007253,216281583,222764607,229402950,236235364,243212253,250405638,257869813,265531774,273356495,281449242,289763233,298315871,307257068,316539651,326346730,336114935,345897727,356289607,367127397,378423525,389954983,401677099,413786598
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,3884927,3963281,4045930,4133338,4229377,4334314,4445426,4566248,4698156,4836937,4981601,5133729,5289041,5451678,5623098,5797248,5979432,6163755,6365235,6585828,6788013,6992137,7213166,7419984,7623447,7843649,8071350,8317487,8547013,8760029,8995610,9239381,9480429,9718941,9943542,10168782,10421858,10674961,10920256,11183222,11472365,11777285,12091084,12409534,12741335,13092751,13460124,13842994,14238505,14661275,15136416,15661403,16224802,16818059,17441074,18093144,18770674,19480189,20226622,20993902,21695439,22251609,22744374,23344506
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,_T,All age ranges or no breakdown by age,RUR,Rural area,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,111658758,114296883,117064799,119893122,122832934,125871499,128929776,132073909,135349905,138711770,142202879,145773923,149328561,153022708,156979843,161019315,165138645,169191373,173517340,178207779,182750748,187576355,192763278,197706339,202462141,207263254,212138775,217180965,222016197,226798678,231789546,236852989,241689289,246651505,251602062,256845485,262711347,268424729,274058918,279952322,286048935,292226383,298513611,304973519,311634089,318408250,325481776,333175124,340365126,347634312,355003581,362377299,369971909,377783371,385577648,393452021,401294164,409014341,416834821,424791846,432797498,440600045,448193025,455768642
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,_T,All age ranges or no breakdown by age,URB,Urban area,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,19033821,19872354,20770791,21737424,22773061,23870852,25025740,26239326,27525266,28884390,30272887,31729263,33270531,34878949,36533113,38264989,40064024,41929538,43964080,46108199,48217110,50361106,52623439,55073391,57747008,60674869,63897145,67309429,70778989,74326202,78101118,81691094,85244233,88973631,92816300,96621116,100274455,103927501,107656682,111533909,115551653,119775502,124227507,128833965,133647466,138745587,144026740,149231302,155383774,161776165,168456076,175415651,182558745,190108778,198073453,206556403,215083441,223732229,232922327,242451140,252315481,262377061,272666107,283339664
A,Annual,AFE,Africa Eastern and Southern,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,130692579,134169237,137835590,141630546,145605995,149742351,153955516,158313235,162875171,167596160,172475766,177503186,182599092,187901657,193512956,199284304,205202669,211120911,217481420,224315978,230967858,237937461,245386717,252779730,260209149,267938123,276035920,284490394,292795186,301124880,309890664,318544083,326933522,335625136,344418362,353466601,362985802,372352230,381715600,391486231,401600588,412001885,422741118,433807484,445281555,457153837,469508516,482406426,495748900,509410477,523459657,537792950,552530654,567892149,583651101,600008424,616377605,632746570,649757148,667242986,685112979,702977106,720859132,739108306
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,1785055,1821975,1860384,1901418,1947344,2001409,2061047,2122863,2187211,2253697,2322793,2392787,2464609,2540450,2617844,2693721,2765141,2835456,2903806,2926632,2825526,2533972,2299937,2275643,2349485,2418669,2410715,2387348,2406727,2479055,2490400,2510102,2826319,3294019,3650923,3897305,4081383,4266144,4457199,4663513,4748278,4795532,5120594,5521344,5736225,5906886,6107281,6274047,6424057,6579728,6723578,6875520,7038648,7200820,7369155,7532118,7684978,7840826,7999492,8161339,8332095,8500719,8662674,8840915
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,2248630,2297244,2349582,2403744,2457498,2508498,2557792,2609056,2662856,2718610,2777229,2836888,2898405,2964227,3031186,3096102,3155897,3213962,3270596,3278677,3150649,2813677,2546387,2516199,2598796,2679666,2671512,2642480,2658113,2728782,2728925,2734246,3058461,3537687,3884337,4102837,4247630,4388466,4533980,4695224,4739128,4755201,5057897,5445306,5661555,5898049,6189678,6235720,6328667,6626810,6860488,7210142,7625427,7972111,8363003,8695137,8963378,9291731,9638249,10000360,10412972,10794564,11136302,11498794
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,112259,114552,116914,119349,121849,124434,127142,129999,133018,136199,139546,143072,146767,150627,154573,158445,162129,165561,168436,168238,160681,142511,127644,124510,126319,127344,125045,122823,123220,126772,127085,127860,144159,168413,186836,199303,208408,217349,226413,236299,240135,242433,259565,280996,293046,304151,317538,325573,335468,350793,365229,383213,403298,421706,440162,454799,466990,482165,499182,517390,534863,549301,563354,580450
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",F,Female,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,4145945,4233771,4326881,4424511,4526691,4634341,4745981,4861918,4983086,5108507,5239568,5372747,5509781,5655304,5803603,5948268,6083166,6214979,6342838,6373547,6136856,5490160,4973968,4916351,5074600,5225679,5207273,5152650,5188060,5334609,5346409,5372208,6028939,7000119,7722096,8199445,8537421,8871958,9217591,9595036,9727541,9793166,10438055,11247647,11690825,12109086,12614497,12835340,13088192,13557331,13949295,14468875,15067373,15594637,16172321,16682054,17115346,17614722,18136922,18679089,19279930,19844584,20362329,20920159
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,1804235,1843100,1885912,1934221,1987528,2046000,2108544,2173321,2240688,2310296,2382629,2455858,2530965,2610297,2691376,2771012,2846081,2920100,2992258,3017524,2914935,2615829,2375980,2352492,2430320,2503414,2497014,2474639,2496483,2573329,2586901,2609202,2939728,3428000,3801453,4060288,4254773,4450669,4654178,4874579,4968153,5022391,5367695,5792486,6022188,6204843,6418452,6598700,6760595,6926571,7080622,7241399,7412361,7581794,7756052,7924320,8081758,8240991,8402599,8567283,8740826,8912289,9076426,9256800
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,2540269,2580143,2622120,2663599,2705032,2747227,2789513,2833897,2881155,2930853,2983967,3038451,3095190,3156767,3219665,3280477,3336007,3389882,3439579,3432361,3280290,2913063,2617324,2565475,2621069,2665856,2630179,2584447,2588283,2651905,2648305,2650263,2961160,3426859,3767371,3984164,4132045,4276806,4425046,4589307,4640905,4665654,4973410,5366533,5592642,5840098,6141740,6197579,6301399,6612672,6861560,7227756,7661288,8028459,8439813,8789878,9075174,9414493,9763360,10127343,10544398,10927876,11268607,11631642
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,Y_GE65,65 years old and over,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,132017,133126,134135,135134,136263,137579,139109,140893,142852,144834,146808,148801,150816,152937,155234,157629,160015,162341,164187,162937,154550,136143,121015,117131,117698,117272,113975,111022,110633,113325,113182,113494,127606,148782,164634,175015,182357,189388,196318,203924,206385,207422,221096,238463,247897,257162,268256,271683,277012,288735,298195,311127,325455,336319,348024,357248,363928,373212,383903,395783,407078,414713,421409,431253
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",M,Male,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,4476521,4556369,4642166,4732954,4828823,4930806,5037166,5148111,5264694,5385983,5513404,5643110,5776971,5920001,6066275,6209118,6342102,6472323,6596024,6612822,6349775,5665035,5114320,5035098,5169086,5286542,5241168,5170108,5195399,5338559,5348387,5372959,6028494,7003641,7733458,8219467,8569175,8916862,9275541,9667811,9815442,9895467,10562202,11397483,11862726,12302104,12828447,13067961,13339006,13827977,14240377,14780282,15399105,15946572,16543889,17071446,17520861,18028696,18549862,19090409,19692301,20254878,20766442,21319695
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y0T14,under 15 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,3589290,3665076,3746296,3835639,3934872,4047409,4169591,4296185,4427899,4563993,4705422,4848645,4995574,5150747,5309220,5464733,5611221,5755555,5896064,5944156,5740461,5149800,4675918,4628135,4779805,4922083,4907729,4861986,4903210,5052384,5077301,5119303,5766047,6722019,7452377,7957593,8336155,8716812,9111376,9538092,9716430,9817923,10488288,11313831,11758412,12111730,12525733,12872747,13184652,13506299,13804200,14116918,14451010,14782614,15125207,15456438,15766736,16081817,16402090,16728622,17072920,17413008,17739100,18097715
A,Annual,AFG,Afghanistan,WB_HNP_SP_POP_TOTL,"Population, total",_T,Total,Y15T64,15 to 64 years old,_T,Total,COUNT,Count,WB_HNP,Health Nutrition and Population Statistics,Units,A,Normal value,PU,Public,4788899,4877387,4971702,5067343,5162530,5255725,5347305,5442953,5544011,5649463,5761195,5875339,5993595,6120994,6250852,6376579,6491903,6603844,6710175,6711038,6430939,5726741,5163712,5081674,5219865,5345522,5301692,5226926,5246397,5380687,5377229,5384510,6019621,6964546,7651708,8087000,8379675,8665271,8959026,9284531,9380032,9420854,10031307,10811839,11254197,11738147,12331417,12433299,12630067,13239481,13722048,14437898,15286716,16000570,16802817,17485014,18038552,18706224,19401609,20127704,20957369,21722439,22404909,23130436
